,Title,Genre,Favorite count,Maximum Visits,Total Visitors,likes count,dislikes count,Description,Date Created,Date Updated,GC - Most Engaging,GC - Up-and-Coming,GC - Popular,GC - People Love,Current Date,Age of Game,Visitors Per Day,Likes Per Day,Dislikes Per Day,Ratings Per Day,Favorites Per Day,Title length,Desc length
198,update #4 livetopia,Town and City,127429,22,13369227,20109,2249,"______/👁 What's New 👁\______
❣️ Little Red Riding Hood unlocked! Thank you for all the likes :) Scroll down for more unlockable items!
🎆 Light up the Fireworks!
🏘️ More and better Houses!!
🎎 Play with your friends and unlock unique Pets together~

For all new players, we want to send our warmest welcome to you:
✔️ Roleplaying! Choose your own roles, outfits, and careers!
🏡 Own different houses and cars!
🚁 Fly in the air! Heli and Hot-air Balloons!
🐱 Play with unique pets! Aren't they cute??!!??
🧐 Find secrets in the place! Or maybe just chill...

Sneak Peek: https://devforum.roblox.com/t/livetopia-weekly-sneak-peek (updated 5/21)
Patch Notes: https://devforum.roblox.com/t/livetopia-patch-notes

Thumbs-up 👍 and Favorite ⭐ if you enjoy the game and Follow 🔊 us to get timely updates! 
_______/🔥 Lovetopia 🔥\_______
👍 10,000 Likes to unlock Money Gun! (🔫 unlocked)
👍 15,000 Likes to unlock Lolipop! (🍭 unlocked)
👍 20,000 Likes to unlock Hot Dog Suit!
",4/28/2021,5/25/2021,0,1,1,0,2021-05-27,29,461007.8275862069,693.4137931034483,77.55172413793103,770.9655172413793,4394.103448275862,19,958
199,[big sale] city life tycoon,Town and City,155198,6,23833814,51248,6983,"THANK YOU FOR 50K LIKES UPDATE COMING AS SOON AS POSSIBLE BUT HELP US REACH 55K LIKES FOR EVEN MORE CONTENT! 

BIG UPDATE COMING SOON

[Update 8(NPCS)]
. Added NPCs across the map, make sure to go to every building to buy them :)

Build and explore your very own city! Fly amazing planes and helicopters✈️, drive cool cars 🏎️ and best of all have fun with your friends😊

Roleplay with your friends and take them for a ride through your city ✨

Tycoons autosave💾, so do not worry feel free to re-join anytime!

Make sure to LIKE the game👍and FOLLOW us to get notified when we update our game!

We understand there are bugs relating to cars we will get those addressed as soon as possible!
",2/19/2021,5/24/2021,0,0,0,0,2021-05-27,97,245709.42268041236,528.3298969072165,71.98969072164948,600.319587628866,1599.979381443299,27,688
200,southwest florida beta,Town and City,358893,50,56374694,100393,14035,"⚠️ All forms of exploiting, including exploiting your car, will result in a PERMENANT ban. Bear this in mind! ⚠️

Welcome to Southwest Florida! Based around the Bonita Springs area, Southwest Florida is a roleplay game that offers a variety of jobs, vehicles, and more! 

⚠️ This game is not complete and some features are missing.

⚠️ This is a large game and lower end PCs, laptops, phones, and tablets may experience performance issues.

Controls
- ""V"" to toggle walk/jog, hold ""Shift"" to run
- Semi & Auto: ""E"" to upshift, ""Q"" to downshift (""X"" and ""Y"" on Xbox)
- Manual: Use the ""Shift"" key (""RB"" on Xbox) to control clutch while shifting
- Hold left-CTRL while accelerating to wheelie on a bike
- Cops & criminals have to enable PvP (bottom right) in order to do damage
",5/28/2020,5/23/2021,1,0,0,1,2021-05-27,364,154875.53296703298,275.80494505494505,38.55769230769231,314.3626373626374,985.9697802197802,22,776
201,emergency response: liberty county,Town and City,932430,30,133838064,264537,19364,"🚨 New features for better medical roleplay:
[ XP BOOST HAS ENDED ]
- Stretcher tool (available ONLY with ambulance)
- Backboard tool
- Revival RP option (automatic respawning removed when you die)

Emergency Response: Liberty County is an emergency services roleplay game. Play as a Civilian, criminal, transportation worker, police officer, sheriff deputy, or firefighter! Police, fire, and DOT roleplay simulator.

Check out the game trailer: https://www.youtube.com/watch?v=i-7zcfnwOMU

This game is constantly updated with new features and improvements. Check out the latest update log here: 
https://devforum.roblox.com/t/r/1244893",11/1/2018,5/25/2021,0,0,1,1,2021-05-27,938,142684.50319829423,282.0223880597015,20.643923240938165,302.6663113006397,994.0618336886994,34,636
202,scp: roleplay,RPG,279415,40,45287884,89975,14885,"Welcome to SCP: Roleplay!

Governments all over the world fund the SCP Foundation with three objectives in mind: Secure, Contain and Protect the SCPs. The world is filled with anomalous phenomena, and it is the Foundation's task to keep it safe from these.

Roleplay as your favorite SCPF role! Be a Class - D, Scientist, Security Guard or even more!
Progress in the game and unlock more teams and access, and progress in the Foundation.

[!] It is recommended to play with graphics level 5 and above for the best experience.
Rules: https://devforum.roblox.com/t/scp-roleplay-rules/598475",5/16/2020,5/21/2021,0,0,0,0,2021-05-27,376,120446.5,239.29521276595744,39.587765957446805,278.8829787234042,743.125,13,588
203,warrior cats: ultimate edition,RPG,284079,60,26005973,66143,3667,"🚀MAY 15 UPDATE: Picking up kits, 3 new emotes + much more!

Create your own Warrior Cat and roleplay in this official game based on ""Warriors"", The New York Times best-selling series of fantasy books.

Warrior Cats: Ultimate Edition brings the ""Warriors"" series off the written page and into the Roblox world!

🎨Create your own Warrior Cats, and your own story.
🐾Choose the path of a Warrior, a Medicine Cat, or perhaps even a Clan Leader!
🗺️Explore the Forest Territory and the Clans who inhabit it...
💬Develop friendships, alliances, and identify your foes!
🌟Construct your own story in this immersive environment, and control your own destiny.

⚠️This game is Mobile/Tablet compatible, but may not run well on older devices.

Controls:
Q/E to change speeds.
V to drop held item.
M to open/close minmap
Shift+P to toggle cinematic camera
Animation hotkeys found ingame!

Asset Attributions:
https://devforum.roblox.com/t/warriorcatsrp-asset-attributions",8/15/2019,5/25/2021,1,1,1,0,2021-05-27,651,39947.7311827957,101.60215053763442,5.632872503840246,107.23502304147466,436.37327188940094,30,955
204,adopt me!,RPG,20856835,48,22693835029,4347259,801962,"Raise and dress cute pets, decorate your house, and play with friends in the magical, family-friendly world of Adopt Me! on Roblox! 🐶🏘️😻

🧸Toy Shop! 🧸
🎠 New Toy Shop building!
☂️ Improved standard toys! 
🐿️ New premium pet Red Squirrel in Pet Shop! 

🐦 Follow @PlayAdoptMe on Twitter for updates: https://twitter.com/PlayAdoptMe
🎥 Subscribe to our YouTube channel: https://www.youtube.com/PlayAdoptMe

Meet the founders!
NewFissy - Tech Director (https://twitter.com/newfissy)
Bethink - Creative Director (https://twitter.com/Bethink_RBX) 

🔔🔔🔔 Make sure to hit the FOLLOW button to get notified when new updates drop! 🔔🔔🔔

Terms of Service, Privacy Policy and Creative Attributions: https://devforum.roblox.com/t/credits/71812",7/14/2017,5/22/2021,0,0,1,1,2021-05-27,1413,16060746.658881811,3076.6164189667375,567.5598018400566,3644.176220806794,14760.675866949752,9,727
205,prison life (cars fixed!),Town and City,4806817,24,1867874491,978205,152480,"Alright, I fixed the steering for the cars. In addition, driving cars for mobile should work now.

Sorry guys for the lack of updates. I started my first year of university in 2017, and while it's been an amazing experience, that meant that I didn't have much time to spend working on the game. Thankfully, I have been getting more time off recently, so now I have more time to spend developing. I'll make an announcement on my next project when the time comes. Thank you all for being dedicated fans of Prison Life!",5/2/2014,1/13/2021,0,0,0,0,2021-05-27,2582,723421.5689388071,378.85553834237027,59.054996127033306,437.91053446940356,1861.6642137877614,25,516
206,forgotten worlds,RPG,395329,10,80343493,73829,8507,"Welcome to Forgotten Worlds!

Genre:
- Roleplay
- Archive
- Fantasy

Description:
This is an archive of games made prior to the creation of Virtuality World group. Enter a world unlike your own, explore maps as wolves, foxes, horses, lions, or humans. Make friends, stories, and memories!

Information:
- Stay updated in our Roblox group.
https://www.roblox.com/groups/3606245/Virtuality-World
- Message the owners if you have any problems with the game.",3/17/2019,5/14/2021,0,0,0,0,2021-05-27,802,100178.91895261845,92.05610972568579,10.607231920199501,102.66334164588528,492.928927680798,16,454
207,dragons' life,RPG,1535603,50,325114934,258144,21911,"🐲 Welcome to Dragons' Life! [4 v.2] 🐲
Roam around in the world of dragons! Create a family/clan for others to join and roleplay as an dragon adult, teen, child, or egg! There are tons of animations to bring life into your roleplay's.

DEVELOPERS:
🦊Shyfoox🦊 - https://www.roblox.com/users/112488179/profile
🦆Daireb🦆 - https://www.roblox.com/users/34412974/profile

MUSIC COMPOSER
🎶BSlickMusic🎶 - https://www.roblox.com/users/182316511/profile
",11/3/2016,5/14/2021,0,0,0,0,2021-05-27,1666,195147.01920768307,154.9483793517407,13.15186074429772,168.10024009603842,921.7304921968788,13,442
208,cosmic club roblox,RPG,1610660,55,717530012,257224,26253,"✨ COSMIC UPDATE!
👶 DAYCARE ROLEPLAY UPDATE!
✨ LITTLE ROBOTS UPDATE!
🏠 ROLEPLAY FAMILY HOME UPDATE! 

Club Roblox is a world of possibilities! 👶 Adopt a baby 🏠 Build a home 🐶 Adopt a pet 🎳 Play loads of mini-games and 🎫 Take part in weekly events!
---------------------------------------------------------------- 
🏆 https://www.roblox.com/My/Groups.aspx?gid=3250407
---------------------------------------------------------------- 
Please give a Thumbs Up & Favourite! 
---------------------------------------------------------------- 
[Bonus] 💎 Join Block Evolution Studios for promo codes!
---------------------------------------------------------------- 
Developed by Block Evolution Studios ©
",7/12/2019,5/22/2021,0,0,1,1,2021-05-27,685,1047489.0686131386,375.5094890510949,38.325547445255474,413.83503649635037,2351.3284671532847,18,696
209,[2x] blade quest,RPG,173489,50,65999480,46872,4996,"Double EXP for a limited time!
Daily Rewards! Play everyday for a free reward

Welcome to Blade Quest! 
⚔️ Battle monsters
💎 Earn rare blades and magic spells
⭐️ Upgrade your stats and loot
👑 Level up and unlock new maps

Latest Version: 1.2.1
+ Daily Rewards
+ New map: Neon Avenue
+ 2 magic
   + Laser Beam (Damage)
   + Coin Boost (Support)
+ New enchantment: Heal
+ 11 swords",3/9/2021,5/21/2021,0,0,0,0,2021-05-27,79,835436.4556962026,593.3164556962025,63.24050632911393,656.5569620253165,2196.0632911392404,16,379
210,playville   rp   new,Town and City,244645,26,61510424,25821,6115,"📣 Roleplay with your Family, Raise Pets, and Build your House in the city of Playville!

✨ Premium Roblox Members receive Daily Rewards & Benefits!

⚡ Want more Updates? Favorite & Like the Game!

✅ Follow new updates on my Twitter! @TheAntiael
🎁 Join the Antiael Games group for Group Rewards!
https://www.roblox.com/groups/6518525/Antiael-Games",12/14/2020,5/23/2021,0,0,0,0,2021-05-27,164,375063.56097560975,157.4451219512195,37.28658536585366,194.73170731707316,1491.7378048780488,20,346
211,mad city,Town and City,4608085,26,1698193463,1298100,279152,"The boss and gift event has ended! Congratulations to the people who won the rewards!

Welcome to Mad City, where the choice is yours to choose the power of good or evil. Cause chaos in the city streets as a criminal and super villain or join the super heroes and police force to bring justice to the city. With so many heists, the chaos never stops!

Follow the developers on twitter for updates and special codes:
Lead Developer: @Taymastar 
Lead Programmer: @ChiefDaysRBLX @osedaycan
World Builder: @FamedChris & @TheGemini_II
3D Modeler: @Nic10Telf
Official Twitter: @SchwiftyStudios

LAST UPDATE:
🦌Boss Battle
🎁Gift Rewards
❄️Winter Map
☃️More!

Special thanks to these awesome people: 
@TacticalFrosty @rightIess @kiouhei @Mockerii @Ep1cDrew @PixelatedCandy @DevFoxby @ItsAmmon @PerhapzRBLX @FoxOfJulyy",12/3/2017,4/30/2021,0,0,1,1,2021-05-27,1271,1336108.1534225019,1021.3217938631,219.6317859952793,1240.9535798583793,3625.558615263572,8,808
212,world // zero,RPG,918562,12,116002002,322793,20406,"- World 7 is here!
- Dungeon 7-1 released
- Level cap raised to 95
- Tower 3 coming soon!

🌎 Welcome to World // Zero! 🌎
Choose a starter class and battle your way through 6 Worlds with over 20 unique Dungeons. Defeat fearsome bosses, unlock new classes, collect pets, find rare loot and go on an epic adventure!

🏆 2019 Bloxy Award for Best Use of Tech! 🏆
🏆 2020 Bloxy Award for Most Immersive Experience! 🏆",1/8/2019,5/22/2021,1,0,1,0,2021-05-27,870,133335.6344827586,371.0264367816092,23.455172413793104,394.4816091954023,1055.8183908045978,13,408
213,brookhaven  rp,Town and City,6949072,18,6491890326,1285176,142493,"A place to hang out with like minded people and roleplay.  Own and live in amazing houses, drive cool vehicles and explore the city. Be whoever you want to be in Brookhaven RP.
 
We are a small two person Dev team working hard to make Brookhaven the best it can be.
Thanks for playing!",4/21/2020,5/8/2021,0,0,0,0,2021-05-27,401,16189252.68329177,3204.927680798005,355.3441396508728,3560.271820448878,17329.356608478804,14,285
214, work at a pizza place,Town and City,9808251,12,3194898327,2093180,149464,"🤝Work as a team to fulfill food orders.
🏠Use your work earnings to upgrade your house and buy furniture.

👕Pizza place merch and toys can be found on our amazon page. See 'Social Links' below.

Staff
 @RBXZach: Lead Builder
 @MrJesseh, @iStratixRBLX - Community Managers

Contributors
KyleAllenMusic: Soundtrack Composer
 ID0ntHaveAUse: Game icon artist
 @RobloxLocalize, @PeteyK473 - Translations
 @MikeCatSU: Comic and sticker artist
",3/28/2008,5/21/2021,0,0,0,0,2021-05-27,4808,664496.3242512479,435.35357737104823,31.086522462562396,466.44009983361065,2039.9856489184692,22,436
215,twilight daycare   [activities!],RPG,307257,20,87302448,56567,8453,"[New balloon toys has been added! ✨ Thank you so much for 50K+ likes and 80M+ visits! 🙌]

⭐ New activities - Learning, Drawing, Swimming, Storytelling & Camping!
🧢 Caretaker Customization!
👍 Favorite and like for future updates!
✅ Join group for ""Supporter"" exclusive name tag - https://www.roblox.com/groups/8098236

New updates are now available from new server! ✨ Experience Points will be earned by both babies and caretakers after completing activities and XP Points will be used for unlocking perks ✔️

Welcome to Twilight Daycare! 🍼 Take up the role as a caretaker 👨👩 to take care of babies or become a baby 👶 in the daycare to enjoy the love and fun. 💕 More roles, toys, activities are coming in future! ✨

Thank you very much, KonekoKitten 🙌

[Twilight Daycare 🍼 is now in beta and development progress is going well. 🙏 Stay tuned for more updates! ✨]

Tags:
daycare, baby, infant, toddler, kid, child, children, caretaker, family, roleplay",3/12/2021,5/25/2021,0,0,0,0,2021-05-27,76,1148716.4210526317,744.3026315789474,111.22368421052632,855.5263157894738,4042.8552631578946,32,949
216,overlook bay!,RPG,1266243,45,173669091,312651,49553,"Collect cute pets, decorate your dream home, discover many ways to earn gems and explore the world of Overlook Bay with your friends! 🦄🏡🤗

✨USE CODE ""MEGANPLAYS"" when buying Robux!✨

🎉X2 PET EXPERIENCE WEEKEND!🎉
🐹Level Up Your Pets Twice as Fast!
💎New Like Rewards Have Been Added!
🎁New Weekly Group Reward to Claim!

🎁X2 MINING XP WEEKEND AT 315,000 LIKES!🎁

Follow @WonderWorksRB on Twitter for updates!
Join our Roblox Group for a bonus 500 gems! 🤑

🔔🔔Make sure to FOLLOW our game to get notifications of NEW updates!🔔🔔

Credits: https://devforum.roblox.com/t/678323",5/20/2020,5/21/2021,0,0,0,0,2021-05-27,372,466852.3951612903,840.4596774193549,133.20698924731184,973.6666666666667,3403.8790322580644,13,569
217,dream island  tycoon,Town and City,71537,4,9446043,51459,2441,"👍 LIKE OUR GAME 👍 and Use NEW code: HAPPY for in-game rewards! 🎁NEW EXCLUSIVE CODE AT 57,000 LIKES👍 
 
Build your Airport and expand your island! Fly in Epic airplanes and drive around with Nice cars! ✈️🚗🌴 (Airport, Resort, Port, Restaurant, Aircraft Maintenance, Travel Agency)

💾 Tycoon is saved automatically!

Please 👍Thumb Up and ⭐Favorite if you want updates like:
🛥️ Buy boats!
🏝️ Buy NEW islands!
❓ And much more!

💸Get 2,500 in-game currency if you join our group: 
https://www.roblox.com/groups/9828157/Venzel-Studios

Use code Rebirth",3/13/2021,5/24/2021,0,0,0,0,2021-05-27,75,125947.24,686.12,32.54666666666667,718.6666666666666,953.8266666666667,20,545
218,blox life!  ,Town and City,190396,20,85063415,24581,8166,"👍 Hit The Like To Unlock Free Cash Code and Gears! Make sure to Like The Game!

Welcome to Blox Life, the most fun and different roleplay game in Roblox, buy a house, make new friends, adopt and start a family, explore the map, hang out with friends, and loads more! 🏡🏘️👪

💾 The items are saved, so you will not lose them after purchasing.

✨ Support the game by giving us a LIKE and a FAVORITE!

🚀 Premium Benefits: 50% Extra Cash Boost + Special Items!

🎁 Group Benefits: 25% Extra Cash Boost + Free Items!
www.roblox.com/groups/5762108/Giftbox-Studios

🌟 VIP Servers are free. You can play alone or invite your friends!

Thx for playing!",3/17/2020,5/25/2021,0,0,0,0,2021-05-27,436,195099.57568807338,56.37844036697248,18.729357798165136,75.10779816513761,436.6880733944954,12,640
219,  meepcity  ,Town and City,12869782,200,10212842469,2238809,306519,"💙💙 The game that is Powering Imagination! Chat, play games, earn coins, and customize your very own estate! Play with millions of players who play MeepCity! 💙💙 

✨ We're working on more updates!

🔔Click the Follow button for update notifications! And join our Roblox group/community!",2/23/2016,12/31/2020,0,0,0,0,2021-05-27,1920,5319188.7859375,1166.0463541666666,159.6453125,1325.6916666666666,6703.011458333333,12,283
220,rocitizens [cafe],Town and City,3399416,20,708718960,998887,124509,"+ New location: Cafe
+ Crime and Police system overhaul
+ Destructible environments
+ Performance improvements

Work at jobs, complete quests for the townspeople, customize and furnish a home, cruise about the town, or socialize with other citizens in a constantly growing world!",12/6/2013,5/15/2021,0,1,0,0,2021-05-27,2729,259699.14254305608,366.02674972517406,45.624404543788934,411.651154268963,1245.6636130450715,17,279
221,welcome to bloxburg,Town and City,10075396,12,4460586455,3296983,293166,"Build and design your own amazing house, own cool vehicles, hang out with friends, work, roleplay or explore the city of Bloxburg. The possibilities are endless!

Version: 0.9.7
Update Log: https://devforum.roblox.com/t/--/361910",11/4/2014,5/15/2021,1,0,1,1,2021-05-27,2396,1861680.4904006678,1376.0363105175293,122.35642737896494,1498.3927378964943,4205.0901502504175,19,229
222,roblox high school 2,Town and City,2120717,25,406889275,502259,61698,"🎓 The Graduation Update will be coming to Roblox High School 2 this summer!
Featuring a brand new map, returning features from the original RHS, and so much more!
▶ Full Announcement: devforum.roblox.com/t/rhs2-graduation/913097

Welcome to Roblox High School 2! Enter a brand new school where you can play minigames to boost your grade. Meet new friends, explore a new map filled with secrets, customize your avatar, and enjoy lots of popular new features added to the game!

⭐ Join our community via the Social Media Links down below so you can be the first to know about new stuff coming to the game! ⭐

Developed by Cinder Studio
👉 Credits, group info, & more: devforum.roblox.com/t/rhs-fan-club-group-info/855490",7/17/2018,4/30/2021,0,0,0,0,2021-05-27,1045,389367.7272727273,480.6306220095694,59.041148325358854,539.6717703349283,2029.3942583732057,20,717
223,new update your bizarre adventure,RPG,549778,16,305072185,359358,36278,"✨🏹『NEW UPDATE』 🏹✨
➢ New stand models, auras, skins
➢ New VFX
➢ 2 New Codes in the youtube channel below and more!

Welcome to Your Bizarre Adventure, an RPG-styled game that revolves around obtaining strong and unique spiritual abilities known as ""STANDS"", fighting gangs, and more! Read the help section in-game! JOIN OUR COMMUNITY'S SERVER LINK BELOW FOR CODES, UPDATES, ANNOUNCEMENTS, AND MORE HELP!

Give the game page a thumbs-up like and subscribe to our Youtube below for more codes:
➢ youtube.com/channel/UCwxB9DjiJKOcZbDPIvsCZBg?sub_confirmation=1

Disclaimers:
➢ You will be banned for any form of exploiting and there will be no appeals unless you have high quality video evidence that shows it was you getting falsely banned as it happened. It is highly suggested to use the applications ""Medal"" or ""Shadowplay"" to achieve this for your own safety.

Arrivederci!",2/2/2019,5/23/2021,1,0,1,1,2021-05-27,845,361032.17159763316,425.27573964497043,42.932544378698225,468.2082840236686,650.6248520710059,33,874
224,da hood,Town and City,933578,40,432974667,292399,151502,"A difficult game, read below for tips.
Account has to be at least 10 days to play.

[PC/XBOX Controls][F/ButtonY - Block][E/PadDown - Stomp][G/PadUp - Carry][LCTRL+ButtonB - Crouch]
Crouch+Carry = Ragdoll thrown.
You can weave 100% if you time at the right time when blocking.

To gain muscle buy weights at fitness.
Eat lettuce to reduce muscle.

Cop: To join cops go to the police station, if you execute anyone without cuffs you'll be automatically kicked off. Use cuffs instead.

Criminals: Ransack banks and several others small time shops in order to gain wanted or cash.

Gun saves - however, can be lost by death, or logging when KO, or 0 ammo.

cash drop takes 30%

Game-Commands: ""/e stats""",1/27/2019,5/25/2021,0,0,1,1,2021-05-27,851,508783.39247943595,343.5945945945946,178.02820211515865,521.6227967097532,1097.0364277320798,7,700
225,robloxian high school,Town and City,4581453,35,1081742184,962240,150188,"Embark on your very own high school experience. Go to class, accessorize your house, and socialize in Robloxia!

🛸 UFO SPOTTED! Activate hover mode to speed around above your friends!
🪐 Mars Base? MARS BASE! Be immersed in space with your own space base. 
🪑 Get 31 new sci-fi themed furniture items!
🐈 Pets will now sit with you in vehicles and in seats!
🖐️ Interface now has a modern design!

🐦 Follow @RobloxianHS on Twitter for teasers and updates: https://twitter.com/RobloxianHS
🛎️ Hit the FOLLOW button to know when new updates arrive! 🛎️",6/30/2016,5/24/2021,0,0,1,0,2021-05-27,1792,603650.7723214285,536.9642857142857,83.81026785714286,620.7745535714286,2556.6143973214284,21,544
226,cook burgers,Town and City,644066,4,107572677,162504,35983,"🍔 Make your own burgers and manage the restaurant!
🐀 Watch out for the rats, or find the strange potion to play as a rat!

🐈 New Instant Cat gamepass, available on updated servers!

Tips:
Ingredients will only stick when on a plate
Hold E or hold the Flip button to flip the thing you're holding
You can get your own VIP server for free!

VR is now available in beta! Designed for Oculus headsets (other devices with two controllers may work)",3/17/2019,4/5/2021,0,0,0,0,2021-05-27,802,134130.5199501247,202.62344139650872,44.86658354114713,247.49002493765585,803.074812967581,12,442
227,greenville,Town and City,1123679,25,257676184,313623,61461,"Greenville is an experience about driving around the town, meeting new friends, and roleplaying. Choose from an absolutely massive variety of vehicles and meet new people!

Changelogs:
+ Added 33 new cars! (100+ new individual cars/trims added!)
+ Added DMV
+ Added Plate Customization System (At the DMV, behind spawn)
+ Added saving dirt to all cars
+ Added AEB to equipped cars IRL!
+ Added interior lights to all convertibles

⚠ Running into problems? Shoot us a message at one of our social links below with the details, and we'll do our best to help you.",6/28/2017,5/25/2021,0,0,0,1,2021-05-27,1429,180319.23303009098,219.4702589223233,43.00979706088174,262.48005598320503,786.3393981805458,10,560
228,vehicle legends,Adventure,758337,18,246470515,198273,24593,"⭐MASSIVE update coming in early July!⭐

⭐Leave a like for more updates! It really helps more people find the game! ⭐

🌟 Premium users receive 20% more money when driving 🌟

Welcome to Vehicle Legends! Choose from a selection of many cars and helicopters and build your way up to the top! The more you navigate the map and race, the more money you make! Use your newfound money to purchase better vehicles! Have car shows, upgrade or personalize your vehicle, and more!

This is a playable version of a work in progress game, things are subject to change at any moment.",1/2/2020,5/23/2021,0,0,0,1,2021-05-27,511,482329.7749510763,388.00978473581216,48.12720156555773,436.1369863013699,1484.0254403131116,15,568
229,baldi basics parkour obby,Adventure,69398,20,62587246,28816,7703,"Hello and welcome to Baldis Basics Parkour Obby! You must find a way to escape Baldi! You find a obstacle course that can help you escape! You must CLIMB to the top of Baldi, Parkour!

Baldis Basics Parkour!
--
Don't forget to Like and Favorite",11/7/2020,5/24/2021,0,0,0,0,2021-05-27,201,311379.3333333333,143.36318407960198,38.32338308457712,181.6865671641791,345.2636815920398,25,244
230,mega easy parkour,Fighting,7539,26,8306641,8729,1977,"Explore, roleplay, and live life as an Animal! Adopt your own pet animal as a parent or get adopted! 🐾

RIDE - AS A BABY 👶 click a parent twice to ride and AS A PARENT 👩‍👦 click a baby twice to ride",5/9/2021,5/24/2021,0,1,0,0,2021-05-27,18,461480.05555555556,484.94444444444446,109.83333333333333,594.7777777777778,418.8333333333333,17,198
231,[update] don't press the button 4,Adventure,235372,10,72151391,91835,18713,"👍 NEXT UPDATE AT 100,000 LIKES!
☄️ Current Stages: 79

📌 Join the group for double daily rewards!

📌 Welcome to Don't Press The Button 4! There is a button in the middle of nowhere, the button is in your power to use, will you go rogue and press it or will you follow the rules and not press the button?
What chaos can the button cause? Play to find out!

🏰 (RECENT UPDATE!) [05/22]
- 🏰 Find a way out.. Escape the castle!
- 😱 Hide from the rogue player..
- ⚠️ Watch out for incoming boulders!

🌌 (PREVIOUS UPDATE!) [05/04]
- 🌌 We are in space! The gravity is different..
- 🚗 Watch out for incoming traffic chaos!
- 🎨 Color Pads.. Get on the correct color pad quickly!

✉️ We always update the game frequently, make sure to check often so you don't miss something. Follow the game to be notified about any update we release.",6/12/2020,5/25/2021,0,0,0,0,2021-05-27,349,206737.51002865328,263.13753581661894,53.6189111747851,316.756446991404,674.4183381088825,33,824
232,legends of speed ,Adventure,2341830,15,791754620,512534,50614,"⚡  Unleash your potential and become the fastest ROBLOXian of all time! Compete in races, unlock rare trails, collect epic pets, travel through different maps, beat parkour challenges and much more in Legends Of Speed!

🎁 Join Scriptbloxian Studios to unlock the group rewards chest in-game! https://www.roblox.com/groups/4705120/Scriptbloxian-Studios",4/22/2019,5/24/2021,0,0,0,0,2021-05-27,766,1033622.2193211488,669.1044386422976,66.0757180156658,735.1801566579634,3057.219321148825,17,351
233,bee swarm simulator,Adventure,4299596,6,1472766558,1210258,68710,"Grow your own swarm of bees, collect pollen, and make honey in Bee Swarm Simulator! Meet friendly bears, complete their quests and get rewards! As your hive grows larger and larger, you can explore further up the mountain. Use your bees to defeat dangerous bugs and monsters. Look for treasures hidden around the map. Discover new types of bees, all with their own traits and personalities!

Join Bee Swarm Simulator Club for free Honey, Treats and Codes!: https://www.roblox.com/My/Groups.aspx?gid=3982592",3/21/2018,4/21/2021,1,0,1,1,2021-05-27,1163,1266351.2966466036,1040.6345657781599,59.07996560619089,1099.7145313843507,3696.987102321582,19,506
234,  outlaster,Adventure,334811,50,59299219,85248,14174,"Compete against other players in a battle for power and safety from elimination! Form alliances and find advantages to further yourself in the game and eliminate any threats standing in your way. Can you become the ultimate outlaster?

👍 Make sure to give the game a thumbs up if you like it!

Follow the developers on Twitter to stay updated with news, codes, and sneak peeks!
@Repotted_
@GodzGalaxy_

Credits: https://devforum.roblox.com/t/outlaster-credits/811849",7/13/2020,4/30/2021,0,0,0,0,2021-05-27,318,186475.53144654087,268.07547169811323,44.57232704402516,312.6477987421384,1052.8647798742138,11,466
235,[ skyward citadel!] combat rift,Adventure,125949,15,18137279,50982,4609,"Welcome to Combat Rift! ⚔️

🚨UPDATE 10:
😇New Skyward Citadel Map!
⚔️15 New Swords
🥚2 New Eggs
🐾11 New Pets(+1 Best Secret Pet, can you find it?)
✨New Rarity(VOID)
🔥5 New Ranks
✨3 New Auras
☠️New Souls
⌛Performance Improvements
🐛Bug Fixes

How to Play:
👹 Battle monsters!
💎 Discover Rare Swords!
💰 Sell skulls to get coins from the chest!
☠️ Reach Max level!
🥇 Climb The Leaderboards!
👑 Discover New Worlds!
🐾 Hatch Pets with gems from Killing Monsters!

⭐ Favorite, Follow, and Like the game to show support! ⭐
Use Codes: ""Update10""

⚜️ Join the Group: ""Crafty Savage"" for Group chest and Tag! ⚜️
🐦 Follow @LordWasteds on Twitter for news! 🐦
🔔 Hit the follow button to be notified of updates first! 🔔
Thank you! 
(SHUTDOWN = UPDATE/FIXES)",4/27/2020,5/25/2021,0,0,0,0,2021-05-27,395,45917.16202531646,129.06835443037974,11.668354430379747,140.73670886075948,318.85822784810125,31,738
236,rage runner ,Adventure,556577,24,226519642,109659,63850,"--UNLOCK THIS BADGE BY FINISHING A ROUND!--

BAKUGAN HAVE INVADED!!! Unlock all the cool new Bakugan Geogan themed characters in this new season of the Rage Pass!

😡[RAGE WARNING]😡
❗DO NOT PLAY IF YOU EASILY RAGE!!!

Updates every Friday!

Can you be the first to complete a randomly generated speedrun course without raging?

Can you get all the badges?

Feeling rage? Try out Happy Runner for a nice break!
https://www.roblox.com/games/6242296404/Happy-Runner-NEW#

--Credits--
-- JhaiLatte (Lead Developer)
-- Jandel (Lead Developer)
-- J5ssa (Community Manager/Developer)
-- babbort (Event Maps)",12/11/2020,5/25/2021,0,0,0,0,2021-05-27,167,1356405.0419161676,656.6407185628742,382.3353293413174,1038.9760479041915,3332.7964071856286,12,599
