,Title,Genre,Favorite count,Maximum Visits,Total Visitors,likes count,dislikes count,Description,Date Created,Date Updated,new_text
183,  lifting simulator,Fighting,853456,30,356649767,189414,32823,"  UPDATE LOG {V 9.5}  
- ⭐️ 6 New Body Altering Stages, 18 New Weights, 6 New Genes, 8 New Bloodlines & 8 New Monsters! ⭐️

  Welcome to Lifting Simulator!  

  Lift Weights To Become Bigger & Stronger!
  Sell Your Muscle For Coins And Become Richer!
✨ Buy Better Weights & Genes To Upgrade Your Body!
⚡️ Alter Your Body And Turn Into A Superhuman!
  Kill The Gods, Steal Their Bloodline & Become The Gods Themselves!
  Inherited The Most Powerful God Race. Be It Angels Or Demons!
⚔️ Dethrone Other Champions From The Leaderboards!
  Train To Become The Strongest And Sit On The Throne!

[ By Thai Devs Team   ]",8/14/2019,2/2/2021,"  lifting simulator  UPDATE LOG {V 9.5}  
- ⭐️ 6 New Body Altering Stages, 18 New Weights, 6 New Genes, 8 New Bloodlines & 8 New Monsters! ⭐️

  Welcome to Lifting Simulator!  

  Lift Weights To Become Bigger & Stronger!
  Sell Your Muscle For Coins And Become Richer!
✨ Buy Better Weights & Genes To Upgrade Your Body!
⚡️ Alter Your Body And Turn Into A Superhuman!
  Kill The Gods, Steal Their Bloodline & Become The Gods Themselves!
  Inherited The Most Powerful God Race. Be It Angels Or Demons!
⚔️ Dethrone Other Champions From The Leaderboards!
  Train To Become The Strongest And Sit On The Throne!

[ By Thai Devs Team   ]"
184,ninja tycoon (v3.7),All Genres,504232,8,130567919,124595,16085,"Like Demon Slayer? try my tycoon: https://www.roblox.com/games/6490016198/GRAND-OPENING-Slayer-Tycoon
Like One Piece? Try my tycoon: https://www.roblox.com/games/1501125290/One-Piece-Tycoon
------------------------------
E - Dash (Button on mobile) (Y button on console)
Double Space - Double Jump
Jump on Wall - Wall Climbing
*Activate Gamepass Modes in the Robux GUI, click the one you own
------------------------------
Join the discoard to read the update log.
------------------------------
Be aware that this game doesn't save tycoons and weapons. It was not designed to be that way.
------------------------------
This is a combat-based tycoon game inspired by the Naruto, Naruto Shippuden, and Boruto anime / manga.
-----------------------------------
DEVS:
Coldjason (Me) - Creator
AzuriteStorm - Map Builder
",2/28/2015,5/8/2021,"ninja tycoon (v3.7)Like Demon Slayer? try my tycoon: https://www.roblox.com/games/6490016198/GRAND-OPENING-Slayer-Tycoon
Like One Piece? Try my tycoon: https://www.roblox.com/games/1501125290/One-Piece-Tycoon
------------------------------
E - Dash (Button on mobile) (Y button on console)
Double Space - Double Jump
Jump on Wall - Wall Climbing
*Activate Gamepass Modes in the Robux GUI, click the one you own
------------------------------
Join the discoard to read the update log.
------------------------------
Be aware that this game doesn't save tycoons and weapons. It was not designed to be that way.
------------------------------
This is a combat-based tycoon game inspired by the Naruto, Naruto Shippuden, and Boruto anime / manga.
-----------------------------------
DEVS:
Coldjason (Me) - Creator
AzuriteStorm - Map Builder
"
185,cosmic club roblox,RPG,1615088,55,720514742,258158,26336,"✨ COSMIC UPDATE!
  DAYCARE ROLEPLAY UPDATE!
✨ LITTLE ROBOTS UPDATE!
  ROLEPLAY FAMILY HOME UPDATE! 

Club Roblox is a world of possibilities!   Adopt a baby   Build a home   Adopt a pet   Play loads of mini-games and   Take part in weekly events!
---------------------------------------------------------------- 
  https://www.roblox.com/My/Groups.aspx?gid=3250407
---------------------------------------------------------------- 
Please give a Thumbs Up & Favourite! 
---------------------------------------------------------------- 
[Bonus]   Join Block Evolution Studios for promo codes!
---------------------------------------------------------------- 
Developed by Block Evolution Studios ©
",7/12/2019,5/27/2021,"cosmic club roblox✨ COSMIC UPDATE!
  DAYCARE ROLEPLAY UPDATE!
✨ LITTLE ROBOTS UPDATE!
  ROLEPLAY FAMILY HOME UPDATE! 

Club Roblox is a world of possibilities!   Adopt a baby   Build a home   Adopt a pet   Play loads of mini-games and   Take part in weekly events!
---------------------------------------------------------------- 
  https://www.roblox.com/My/Groups.aspx?gid=3250407
---------------------------------------------------------------- 
Please give a Thumbs Up & Favourite! 
---------------------------------------------------------------- 
[Bonus]   Join Block Evolution Studios for promo codes!
---------------------------------------------------------------- 
Developed by Block Evolution Studios ©
"
186,new pack! muscle legends,Fighting,1133643,20,490762240,318757,49405,"  Unleash your strength and become the strongest ROBLOXian of all time! Train your body, unlock new Gyms, fight other Players, collect epic Pets, gain new Moves, compete in Arenas and much more in Muscle Legends!

⚡ LATEST UPDATE:
- NEW 'Multiverse Muscle Pack' containing the strongest pets on Roblox! Find it in the new Packs menu!
- NEW 'Muscle King' arena! Enter the Portal on Legend Beach to become the Muscle King, or defeat the current King! Only the Muscle King can workout in the arena! The Muscle King gains auto Gems & Strength!
- NEW 'Galaxy Oracle Crystal' with 3 new Pets and 3 new Auras! Find it in the Muscle King's gym!
- 4 NEW codes have been hidden on different maps! Can you find them all?  

✨ Premium Benefits: x2 Strength from Training, +2 Daily Fortune Spins, x2 Chest Rewards, +1 Pet Slot

  Join Scriptbloxian Studios to unlock the group chest & +1 Daily Spins! https://www.roblox.com/groups/4705120/Scriptbloxian-Studios",8/9/2019,5/22/2021,"new pack! muscle legends  Unleash your strength and become the strongest ROBLOXian of all time! Train your body, unlock new Gyms, fight other Players, collect epic Pets, gain new Moves, compete in Arenas and much more in Muscle Legends!

⚡ LATEST UPDATE:
- NEW 'Multiverse Muscle Pack' containing the strongest pets on Roblox! Find it in the new Packs menu!
- NEW 'Muscle King' arena! Enter the Portal on Legend Beach to become the Muscle King, or defeat the current King! Only the Muscle King can workout in the arena! The Muscle King gains auto Gems & Strength!
- NEW 'Galaxy Oracle Crystal' with 3 new Pets and 3 new Auras! Find it in the Muscle King's gym!
- 4 NEW codes have been hidden on different maps! Can you find them all?  

✨ Premium Benefits: x2 Strength from Training, +2 Daily Fortune Spins, x2 Chest Rewards, +1 Pet Slot

  Join Scriptbloxian Studios to unlock the group chest & +1 Daily Spins! https://www.roblox.com/groups/4705120/Scriptbloxian-Studios"
187,ragdoll engine,Comedy,3250575,40,1572483339,793509,119466,"a realistic ragdoll physics game

Press F to toggle ragdoll (X on Xbox)
Press T to toggle perspective

as of right now, i am remaking this game. https://www.roblox.com/games/4082195930/Ragdoll-Engine-Experimental

Known issues: 
entering ragdoll state once in R6 rig will break tools. re-equipping the tool will fix it",7/4/2018,10/18/2019,"ragdoll enginea realistic ragdoll physics game

Press F to toggle ragdoll (X on Xbox)
Press T to toggle perspective

as of right now, i am remaking this game. https://www.roblox.com/games/4082195930/Ragdoll-Engine-Experimental

Known issues: 
entering ragdoll state once in R6 rig will break tools. re-equipping the tool will fix it"
188,mad city,Town and City,4612431,26,1700007319,1299709,279391," 

Welcome to Mad City, where the choice is yours to choose the power of good or evil. Cause chaos in the city streets as a criminal and super villain or join the super heroes and police force to bring justice to the city. With so many heists, the chaos never stops!

Follow the developers on twitter for updates and special codes:
Lead Developer: @Taymastar 
Lead Programmer: @ChiefDaysRBLX @osedaycan
World Builder: @FamedChris & @TheGemini_II
3D Modeler: @Nic10Telf
Official Twitter: @SchwiftyStudios

Special thanks to these awesome people: 
@TacticalFrosty@rightIess @kiouhei @Mockerii @Ep1cDrew @PixelatedCandy @DevFoxby @ItsAmmon @PerhapzRBLX @FoxOfJulyy",12/3/2017,5/27/2021,"mad city 

Welcome to Mad City, where the choice is yours to choose the power of good or evil. Cause chaos in the city streets as a criminal and super villain or join the super heroes and police force to bring justice to the city. With so many heists, the chaos never stops!

Follow the developers on twitter for updates and special codes:
Lead Developer: @Taymastar 
Lead Programmer: @ChiefDaysRBLX @osedaycan
World Builder: @FamedChris & @TheGemini_II
3D Modeler: @Nic10Telf
Official Twitter: @SchwiftyStudios

Special thanks to these awesome people: 
@TacticalFrosty@rightIess @kiouhei @Mockerii @Ep1cDrew @PixelatedCandy @DevFoxby @ItsAmmon @PerhapzRBLX @FoxOfJulyy"
189,ninja legends,Fighting,3210915,20,1208834567,918005,81617,"  Double-tap your jump button to Double Jump! (PC = Spacebar, Mobile = Jump Button, Xbox = 'A' Button)

HOW TO PLAY:
⚡ Train your skills by using weapons and gaining Ninjitsu!
 ️ Use gained Ninjitsu to increase your health and damage!
  Sell your Ninjitsu for coins and upgrade your items in the shop!
 ‍  Unlock more Double Jumps and discover Islands high above!
  Buy epic Pets to help you gain stats faster!

  Join Scriptbloxian Studios to unlock the group rewards chest in-game! https://www.roblox.com/groups/4705120/Scriptbloxian-Studios",9/22/2019,4/28/2021,"ninja legends  Double-tap your jump button to Double Jump! (PC = Spacebar, Mobile = Jump Button, Xbox = 'A' Button)

HOW TO PLAY:
⚡ Train your skills by using weapons and gaining Ninjitsu!
 ️ Use gained Ninjitsu to increase your health and damage!
  Sell your Ninjitsu for coins and upgrade your items in the shop!
 ‍  Unlock more Double Jumps and discover Islands high above!
  Buy epic Pets to help you gain stats faster!

  Join Scriptbloxian Studios to unlock the group rewards chest in-game! https://www.roblox.com/groups/4705120/Scriptbloxian-Studios"
190,[update 4!] last pirates,All Genres,63008,10,20430369,25264,4523,"Current Level cap : 850
Current Fruit : Tori,Yami,Pika,Mera,Moku,Suna,Suke,Guru,Yomi,Bomu,Hie,Magu,Zushi,Gura,Soru,Bisu,Bari,Goro,Mochi

Devil fruit spawn every 30 mins and respawn every 10 mins

Control
Q - Dash
Ctrl - Sprint/Run
Double spacebar - Geppo
F- Flash Step
J - Armament",2/1/2021,5/27/2021,"[update 4!] last piratesCurrent Level cap : 850
Current Fruit : Tori,Yami,Pika,Mera,Moku,Suna,Suke,Guru,Yomi,Bomu,Hie,Magu,Zushi,Gura,Soru,Bisu,Bari,Goro,Mochi

Devil fruit spawn every 30 mins and respawn every 10 mins

Control
Q - Dash
Ctrl - Sprint/Run
Double spacebar - Geppo
F- Flash Step
J - Armament"
191,[ super luck ] bubble gum simulator,All Genres,3174269,10,1123103567,919909,119752,"Super Luck Event!
-   2x Luck
-   2x Mythic
- ⚡ 2x Hatch Speed

  UPDATE 75  
  New Bubble Pass for season 20!
  Competitive leaderboards are back!
🥚 New egg in the Shadow Realm (Corrupted Egg)
  16 new pets!
  ??
  60% off sale on all gamepasses!
  50% off sale on all boosts!
  Easter event has ended! We hope you enjoyed our biggest egg hunt yet
  Bug fixes for gamepad auto-hatch.

Subscribe to the Rumble Studios YouTube channel to redeem exclusive rewards, including a special pet, more inventory space, and free boosts!   Tutorial: https://youtu.be/NweUYpsrS3c

Welcome to Bubble Gum Simulator! Blow bubbles to reach new heights in the clouds. Sell your bubbles or collect coins to buy upgrades! Hatch pets as companions to help you on your adventure.

A game by Rumble Studios.",10/23/2018,5/8/2021,"[ super luck ] bubble gum simulatorSuper Luck Event!
-   2x Luck
-   2x Mythic
- ⚡ 2x Hatch Speed

  UPDATE 75  
  New Bubble Pass for season 20!
  Competitive leaderboards are back!
🥚 New egg in the Shadow Realm (Corrupted Egg)
  16 new pets!
  ??
  60% off sale on all gamepasses!
  50% off sale on all boosts!
  Easter event has ended! We hope you enjoyed our biggest egg hunt yet
  Bug fixes for gamepad auto-hatch.

Subscribe to the Rumble Studios YouTube channel to redeem exclusive rewards, including a special pet, more inventory space, and free boosts!   Tutorial: https://youtu.be/NweUYpsrS3c

Welcome to Bubble Gum Simulator! Blow bubbles to reach new heights in the clouds. Sell your bubbles or collect coins to buy upgrades! Hatch pets as companions to help you on your adventure.

A game by Rumble Studios."
192,vehicle legends,Adventure,761300,18,247606713,199257,24674,"⭐MASSIVE update coming in early July!⭐

⭐Leave a like for more updates! It really helps more people find the game! ⭐

  Premium users receive 20% more money when driving  

Welcome to Vehicle Legends! Choose from a selection of many cars and helicopters and build your way up to the top! The more you navigate the map and race, the more money you make! Use your newfound money to purchase better vehicles! Have car shows, upgrade or personalize your vehicle, and more!

This is a playable version of a work in progress game, things are subject to change at any moment.",1/2/2020,5/23/2021,"vehicle legends⭐MASSIVE update coming in early July!⭐

⭐Leave a like for more updates! It really helps more people find the game! ⭐

  Premium users receive 20% more money when driving  

Welcome to Vehicle Legends! Choose from a selection of many cars and helicopters and build your way up to the top! The more you navigate the map and race, the more money you make! Use your newfound money to purchase better vehicles! Have car shows, upgrade or personalize your vehicle, and more!

This is a playable version of a work in progress game, things are subject to change at any moment."
193,update!  seaboard city rp,Town and City,376753,20,79825947,54547,9664," LIKE and a FAVORITE if you like the game and want to see more stuff added!  

LATEST UPDATE:
 BRAND NEW BANK! Check out the new bank in the Ocean Center plaza!
 NEW Pet Store! (New pets coming SOON)
✨NEW Hair Salon and Spa! 
✈️New Seaboard City Airport (Behind the police station).
 MORE COMING NEXT WEEK!


Welcome to our wonderful coastal community! Explore Seaboard City with your friends, create families, hang out in your home, and see all that we have to offer!
 
 GAME IS STILL BEING WORKED ON. BUG FIXES & UPDATES WILL BE PUSHED OUT PERIODICALLY. ",7/22/2020,5/25/2021,"update!  seaboard city rp LIKE and a FAVORITE if you like the game and want to see more stuff added!  

LATEST UPDATE:
 BRAND NEW BANK! Check out the new bank in the Ocean Center plaza!
 NEW Pet Store! (New pets coming SOON)
✨NEW Hair Salon and Spa! 
✈️New Seaboard City Airport (Behind the police station).
 MORE COMING NEXT WEEK!


Welcome to our wonderful coastal community! Explore Seaboard City with your friends, create families, hang out in your home, and see all that we have to offer!
 
 GAME IS STILL BEING WORKED ON. BUG FIXES & UPDATES WILL BE PUSHED OUT PERIODICALLY. "
194,feather family [  vet],RPG,1189584,60,266533949,156619,13177," ️ Bird Roleplay
 ️ Explore the world as one of many types of birds! Choose your species, customize yourself, hatch from an egg, grow up, build your own nest, and join flocks!

Next Update: Friday, May 28th
- New Standard Bird: Robin

  Last Update: Small Sanctuary Update
- Remodeled Vet Clinic and small changes to Sanctuary
- Added Flock Chat Channels: Private chat between flock members and private messages between players
- Dynamic weather sounds: Being inside a building or underground muffles rain and thunder sounds.
- Lightning will now only be visible if you are outside/ Softened lightning flash effect
- Player label will now disappear if you are in first person camera

Credits: https://devforum.roblox.com/t/feather-family-information/911548",1/24/2018,5/13/2021,"feather family [  vet] ️ Bird Roleplay
 ️ Explore the world as one of many types of birds! Choose your species, customize yourself, hatch from an egg, grow up, build your own nest, and join flocks!

Next Update: Friday, May 28th
- New Standard Bird: Robin

  Last Update: Small Sanctuary Update
- Remodeled Vet Clinic and small changes to Sanctuary
- Added Flock Chat Channels: Private chat between flock members and private messages between players
- Dynamic weather sounds: Being inside a building or underground muffles rain and thunder sounds.
- Lightning will now only be visible if you are outside/ Softened lightning flash effect
- Player label will now disappear if you are in first person camera

Credits: https://devforum.roblox.com/t/feather-family-information/911548"
195,jailbreak,Town and City,16332963,30,5057050235,4409808,596479,"    Season 4 and an epic new robbery, coming soon!

Our recent Jailbreak update:  
  Interrogator police vehicle, and limited time agent vehicle!
  PIT MANEUVERS! 
⚽️ New Soccer Ball reward!
  5B Visits Garage Spoiler! TY!! ❤️



  Jailbreak is an award-winning game played over five billion times where you can orchestrate a robbery or stop the criminals before they get away! Team up with friends for even more fun and plan the ultimate raid or heist. What role will you play? 

  Programmed by Badcc. @badccvoid
  Designed by asimo3089.  @asimo3089",1/6/2017,5/27/2021,"jailbreak    Season 4 and an epic new robbery, coming soon!

Our recent Jailbreak update:  
  Interrogator police vehicle, and limited time agent vehicle!
  PIT MANEUVERS! 
⚽️ New Soccer Ball reward!
  5B Visits Garage Spoiler! TY!! ❤️



  Jailbreak is an award-winning game played over five billion times where you can orchestrate a robbery or stop the criminals before they get away! Team up with friends for even more fun and plan the ultimate raid or heist. What role will you play? 

  Programmed by Badcc. @badccvoid
  Designed by asimo3089.  @asimo3089"
196,[  school!] roville,Town and City,858463,20,85702299,150818,24650,"⭐Get a free private server to play with your friends!⭐

RoVille is an open-world multiplayer life simulation game where players can work one of many jobs, build their dream home and socialize with other players!

 Explore this large world while driving fully customizable cars which can be purchased in-game!

 Build an amazing house and sell it to other players on the marketplace!

  Build a booming business and make millions while managing your empire!

 Browse the vast user-generated property marketplace, find a house that fits your style and customize it to your liking! 

  Invest your cash in the bank!

  Updates & More Info: https://devforum.roblox.com/t/roville-introduction-and-beta-info/354879

Feel free to follow the Swootch builder on twitter (@Swoootch)

Contact Enqrypted (@EnqryptedDev) for issues, bugs or suggestions",11/5/2018,5/27/2021,"[  school!] roville⭐Get a free private server to play with your friends!⭐

RoVille is an open-world multiplayer life simulation game where players can work one of many jobs, build their dream home and socialize with other players!

 Explore this large world while driving fully customizable cars which can be purchased in-game!

 Build an amazing house and sell it to other players on the marketplace!

  Build a booming business and make millions while managing your empire!

 Browse the vast user-generated property marketplace, find a house that fits your style and customize it to your liking! 

  Invest your cash in the bank!

  Updates & More Info: https://devforum.roblox.com/t/roville-introduction-and-beta-info/354879

Feel free to follow the Swootch builder on twitter (@Swoootch)

Contact Enqrypted (@EnqryptedDev) for issues, bugs or suggestions"
197,ultimate driving: westover islands,Town and City,1164781,30,172350730,401129,51381,"v4.5.3.1 - SALE! 2X XP! FREE HOMES!
(fixed new truck skill points)

  Houses are now free to get for everyone! We'll be using the old Home Pass as a Mansion Pass very soon! Expect improvements to homes over the next few weeks!
  New truck, hypercar, and economy car!
❗❗ Added a new VIP subscription!

  Enjoying the game? Leave a like and favorite! We'll be giving away another car at 400,000 likes!  

Welcome to the wide world of Ultimate Driving, where you can explore, roleplay, and race with your friends in a vast open world! The more you drive, the more credits you'll earn to spend on muscle cars, tuners, classics, supercars, and even hypercars! Respond to emergencies and enforce the law as a police officer, save lives from fires as a fire fighter or EMT, keep the post office moving as a mailman, ship cargo and drive big trucks, and haul your friends to new places as a bus driver! With over 300 different vehicles to choose from, there's always something new to drive!",6/25/2011,5/27/2021,"ultimate driving: westover islandsv4.5.3.1 - SALE! 2X XP! FREE HOMES!
(fixed new truck skill points)

  Houses are now free to get for everyone! We'll be using the old Home Pass as a Mansion Pass very soon! Expect improvements to homes over the next few weeks!
  New truck, hypercar, and economy car!
❗❗ Added a new VIP subscription!

  Enjoying the game? Leave a like and favorite! We'll be giving away another car at 400,000 likes!  

Welcome to the wide world of Ultimate Driving, where you can explore, roleplay, and race with your friends in a vast open world! The more you drive, the more credits you'll earn to spend on muscle cars, tuners, classics, supercars, and even hypercars! Respond to emergencies and enforce the law as a police officer, save lives from fires as a fire fighter or EMT, keep the post office moving as a mailman, ship cargo and drive big trucks, and haul your friends to new places as a bus driver! With over 300 different vehicles to choose from, there's always something new to drive!"
198,update #4 livetopia,Town and City,171975,25,19494981,29256,3067,"___/  What's New  \___
  Say Hi to the HUGE Update ⑤!
  Long list of new items! Van, Tent, Grill, Mirror... try them out!
  More interactions with pets! Feeding and riding!
 ️ Park is up. Find it and go camping!
  Please find more details from the Patch Notes below.
_____________
✔️ Roleplaying! Choose your own roles, outfits, and careers!
  Own different houses and cars!
  Fly in the air! Heli and Hot-air Balloons!
  Play with unique pets! Aren't they cute??!!??
🧐 Find secrets in the place! Or maybe just chill...

Sneak Peek: https://devforum.roblox.com/t/livetopia-weekly-sneak-peek (updated 5/21)
Patch Notes: https://devforum.roblox.com/t/livetopia-patch-notes (updated 5/27)

Thumbs-up   and Favorite ⭐ if you enjoy the game and Follow   us to get timely updates! 
___/  Lovetopia  \___
  20k likes to unlock Hot Dog Suit  ! (Unlocked)
  35k likes to unlock Frying Pan  !
  50k likes to unlock Golf Stick  ️!
  70k likes to unlock Mini Bus  !",4/28/2021,5/27/2021,"update #4 livetopia___/  What's New  \___
  Say Hi to the HUGE Update ⑤!
  Long list of new items! Van, Tent, Grill, Mirror... try them out!
  More interactions with pets! Feeding and riding!
 ️ Park is up. Find it and go camping!
  Please find more details from the Patch Notes below.
_____________
✔️ Roleplaying! Choose your own roles, outfits, and careers!
  Own different houses and cars!
  Fly in the air! Heli and Hot-air Balloons!
  Play with unique pets! Aren't they cute??!!??
🧐 Find secrets in the place! Or maybe just chill...

Sneak Peek: https://devforum.roblox.com/t/livetopia-weekly-sneak-peek (updated 5/21)
Patch Notes: https://devforum.roblox.com/t/livetopia-patch-notes (updated 5/27)

Thumbs-up   and Favorite ⭐ if you enjoy the game and Follow   us to get timely updates! 
___/  Lovetopia  \___
  20k likes to unlock Hot Dog Suit  ! (Unlocked)
  35k likes to unlock Frying Pan  !
  50k likes to unlock Golf Stick  ️!
  70k likes to unlock Mini Bus  !"
199,[big sale] city life tycoon,Town and City,156938,6,24140121,51922,7074,"THANK YOU FOR 50K LIKES UPDATE COMING AS SOON AS POSSIBLE BUT HELP US REACH 55K LIKES FOR EVEN MORE CONTENT! 

BIG UPDATE COMING SOON

[Update 8(NPCS)]
. Added NPCs across the map, make sure to go to every building to buy them :)

Build and explore your very own city! Fly amazing planes and helicopters✈️, drive cool cars  ️ and best of all have fun with your friends 

Roleplay with your friends and take them for a ride through your city ✨

Tycoons autosave , so do not worry feel free to re-join anytime!

Make sure to LIKE the game and FOLLOW us to get notified when we update our game!

We understand there are bugs relating to cars we will get those addressed as soon as possible!
",2/19/2021,5/27/2021,"[big sale] city life tycoonTHANK YOU FOR 50K LIKES UPDATE COMING AS SOON AS POSSIBLE BUT HELP US REACH 55K LIKES FOR EVEN MORE CONTENT! 

BIG UPDATE COMING SOON

[Update 8(NPCS)]
. Added NPCs across the map, make sure to go to every building to buy them :)

Build and explore your very own city! Fly amazing planes and helicopters✈️, drive cool cars  ️ and best of all have fun with your friends 

Roleplay with your friends and take them for a ride through your city ✨

Tycoons autosave , so do not worry feel free to re-join anytime!

Make sure to LIKE the game and FOLLOW us to get notified when we update our game!

We understand there are bugs relating to cars we will get those addressed as soon as possible!
"
200,southwest florida beta,Town and City,362248,50,57140272,101666,14174,"⚠️ All forms of exploiting, including exploiting your car, will result in a PERMENANT ban. Bear this in mind! ⚠️

Welcome to Southwest Florida! Based around the Bonita Springs area, Southwest Florida is a roleplay game that offers a variety of jobs, vehicles, and more! 

⚠️ This game is not complete and some features are missing.

⚠️ This is a large game and lower end PCs, laptops, phones, and tablets may experience performance issues.

Controls
- ""V"" to toggle walk/jog, hold ""Shift"" to run
- Semi & Auto: ""E"" to upshift, ""Q"" to downshift (""X"" and ""Y"" on Xbox)
- Manual: Use the ""Shift"" key (""RB"" on Xbox) to control clutch while shifting
- Hold left-CTRL while accelerating to wheelie on a bike
- Cops & criminals have to enable PvP (bottom right) in order to do damage
",5/28/2020,5/23/2021,"southwest florida beta⚠️ All forms of exploiting, including exploiting your car, will result in a PERMENANT ban. Bear this in mind! ⚠️

Welcome to Southwest Florida! Based around the Bonita Springs area, Southwest Florida is a roleplay game that offers a variety of jobs, vehicles, and more! 

⚠️ This game is not complete and some features are missing.

⚠️ This is a large game and lower end PCs, laptops, phones, and tablets may experience performance issues.

Controls
- ""V"" to toggle walk/jog, hold ""Shift"" to run
- Semi & Auto: ""E"" to upshift, ""Q"" to downshift (""X"" and ""Y"" on Xbox)
- Manual: Use the ""Shift"" key (""RB"" on Xbox) to control clutch while shifting
- Hold left-CTRL while accelerating to wheelie on a bike
- Cops & criminals have to enable PvP (bottom right) in order to do damage
"
201,emergency response: liberty county,Town and City,934774,30,134488967,265587,19419,"  New features for better medical roleplay:
[ XP BOOST HAS ENDED ]
- Stretcher tool (available ONLY with ambulance)
- Backboard tool
- Revival RP option (automatic respawning removed when you die)

Emergency Response: Liberty County is an emergency services roleplay game. Play as a Civilian, criminal, transportation worker, police officer, sheriff deputy, or firefighter! Police, fire, and DOT roleplay simulator.

Check out the game trailer: https://www.youtube.com/watch?v=i-7zcfnwOMU

This game is constantly updated with new features and improvements. Check out the latest update log here: 
https://devforum.roblox.com/t/r/1244893",11/1/2018,5/26/2021,"emergency response: liberty county  New features for better medical roleplay:
[ XP BOOST HAS ENDED ]
- Stretcher tool (available ONLY with ambulance)
- Backboard tool
- Revival RP option (automatic respawning removed when you die)

Emergency Response: Liberty County is an emergency services roleplay game. Play as a Civilian, criminal, transportation worker, police officer, sheriff deputy, or firefighter! Police, fire, and DOT roleplay simulator.

Check out the game trailer: https://www.youtube.com/watch?v=i-7zcfnwOMU

This game is constantly updated with new features and improvements. Check out the latest update log here: 
https://devforum.roblox.com/t/r/1244893"
202,scp: roleplay,RPG,282007,40,45739515,90817,14990,"Welcome to SCP: Roleplay!

Governments all over the world fund the SCP Foundation with three objectives in mind: Secure, Contain and Protect the SCPs. The world is filled with anomalous phenomena, and it is the Foundation's task to keep it safe from these.

Roleplay as your favorite SCPF role! Be a Class - D, Scientist, Security Guard or even more!
Progress in the game and unlock more teams and access, and progress in the Foundation.

[!] It is recommended to play with graphics level 5 and above for the best experience.
Rules: https://devforum.roblox.com/t/scp-roleplay-rules/598475",5/16/2020,5/21/2021,"scp: roleplayWelcome to SCP: Roleplay!

Governments all over the world fund the SCP Foundation with three objectives in mind: Secure, Contain and Protect the SCPs. The world is filled with anomalous phenomena, and it is the Foundation's task to keep it safe from these.

Roleplay as your favorite SCPF role! Be a Class - D, Scientist, Security Guard or even more!
Progress in the game and unlock more teams and access, and progress in the Foundation.

[!] It is recommended to play with graphics level 5 and above for the best experience.
Rules: https://devforum.roblox.com/t/scp-roleplay-rules/598475"
203,warrior cats: ultimate edition,RPG,288541,60,26653372,67365,3727," MAY 15 UPDATE: Picking up kits, 3 new emotes + much more!

Create your own Warrior Cat and roleplay in this official game based on ""Warriors"", The New York Times best-selling series of fantasy books.

Warrior Cats: Ultimate Edition brings the ""Warriors"" series off the written page and into the Roblox world!

 Create your own Warrior Cats, and your own story.
 Choose the path of a Warrior, a Medicine Cat, or perhaps even a Clan Leader!
 ️Explore the Forest Territory and the Clans who inhabit it...
 Develop friendships, alliances, and identify your foes!
 Construct your own story in this immersive environment, and control your own destiny.

⚠️This game is Mobile/Tablet compatible, but may not run well on older devices.

Controls:
Q/E to change speeds.
V to drop held item.
M to open/close minmap
Shift+P to toggle cinematic camera
Animation hotkeys found ingame!

Asset Attributions:
https://devforum.roblox.com/t/warriorcatsrp-asset-attributions",8/15/2019,5/25/2021,"warrior cats: ultimate edition MAY 15 UPDATE: Picking up kits, 3 new emotes + much more!

Create your own Warrior Cat and roleplay in this official game based on ""Warriors"", The New York Times best-selling series of fantasy books.

Warrior Cats: Ultimate Edition brings the ""Warriors"" series off the written page and into the Roblox world!

 Create your own Warrior Cats, and your own story.
 Choose the path of a Warrior, a Medicine Cat, or perhaps even a Clan Leader!
 ️Explore the Forest Territory and the Clans who inhabit it...
 Develop friendships, alliances, and identify your foes!
 Construct your own story in this immersive environment, and control your own destiny.

⚠️This game is Mobile/Tablet compatible, but may not run well on older devices.

Controls:
Q/E to change speeds.
V to drop held item.
M to open/close minmap
Shift+P to toggle cinematic camera
Animation hotkeys found ingame!

Asset Attributions:
https://devforum.roblox.com/t/warriorcatsrp-asset-attributions"
